"block","trt","species","prob","graminoid","seedrate.g.plot"
"1","ir 1","BOCU","0.170142","1","0.7203"
"1","ir 1","SCSC","0.151180","1","0.6579"
"1","ir 1","ACMI","0.127250","0","0.0654"
"1","ir 1","ARLU","0.097276","0","0.0234"
"1","ir 1","POSE","0.079236","1","0.0741"
"1","ir 1","POPE","0.065800","0","0.1410"
"1","ir 1","ELEL","0.063587","1","0.2541"
"1","ir 1","THFI","0.041030","0","0.3519"
"1","ir 1","ARFR","0.038556","0","0.0108"
"1","ir 1","SPCR","0.037866","1","0.0087"
"1","ir 1","HEVI","0.036849","0","0.4071"
"1","ir 1","RACO","0.033329","0","0.0177"
"1","ir 1","FEID","0.029871","1","0.0552"
"1","ir 1","DACA","0.017987","0","0.0495"
"1","ir 1","ASDR","0.010040","0","0.0645"
"1","dt 1","BOGR","0.234230","1","0.3495"
"1","dt 1","HECO","0.199373","1","1.5771"
"1","dt 1","ACHY","0.188279","1","0.8178"
"1","dt 1","PASM","0.105114","1","0.7860"
"1","dt 1","SCSC","0.066069","1","0.2874"
"1","dt 1","FEID","0.046059","1","0.0852"
"1","dt 1","POPE","0.035465","0","0.0759"
"1","dt 1","ARLU","0.034365","0","0.0084"
"1","dt 1","ASDR","0.030698","0","0.1974"
"1","dt 1","MATA","0.021644","0","0.0540"
"1","dt 1","DACA","0.013258","0","0.0363"
"1","dt 1","ACMI","0.010612","0","0.0054"
"1","dt 1","RACO","0.007970","0","0.0042"
"1","dt 1","THFI","0.004579","0","0.0393"
"1","dt 1","GAAR","0.002285","0","0.0126"
"1","fd 1","GAAR","0.171218","0","0.9417"
"1","fd 1","ARPU","0.080514","1","0.2802"
"1","fd 1","LIPU","0.071780","0","0.4617"
"1","fd 1","HECO","0.071682","1","0.5670"
"1","fd 1","ACMI","0.070149","0","0.0360"
"1","fd 1","KOMA","0.069876","1","0.0348"
"1","fd 1","DACA","0.059307","0","0.1629"
"1","fd 1","BOGR","0.059167","1","0.0882"
"1","fd 1","FEID","0.053755","1","0.0996"
"1","fd 1","THFI","0.052360","0","0.4491"
"1","fd 1","MATA","0.051089","0","0.1278"
