"block","trt","species","prob","graminoid","seedrate.g.plot"
"1","ir","MURI","0.394881","1","0.0450"
"1","ir","AMME","0.184118","0","0.1445"
"1","ir","ELGL","0.093910","1","0.1949"
"1","ir","CIOC","0.091711","0","0.3059"
"1","ir","HOIN","0.089022","1","0.2360"
"1","ir","POSE","0.081199","1","0.0259"
"1","ir","LUSU","0.040364","0","0.6153"
"1","ir","ACST","0.014543","0","0.0114"
"1","ir","SIBE","0.007061","0","0.0055"
"1","ir","LUMI","0.003190","0","0.0473"
"1","dt","ACAM","0.266756","0","0.5462"
"1","dt","LUBI","0.265115","0","0.5831"
"1","dt","ELGL","0.147052","1","0.3052"
"1","dt","PLER","0.138629","0","0.1201"
"1","dt","GRCA","0.062489","0","0.0695"
"1","dt","CAME","0.045077","0","0.0185"
"1","dt","ELCO","0.035078","1","0.0441"
"1","dt","ESCA","0.029186","0","0.0178"
"1","dt","MURI","0.008468","1","0.0010"
"1","dt","POSE","0.002151","1","0.0007"
"1","fd","LUBI","0.148224","0","0.3260"
"1","fd","LAPL","0.136347","0","0.0447"
"1","fd","SPAI","0.112728","1","0.0152"
"1","fd","ASFA","0.105537","0","0.2321"
"1","fd","ESCA","0.102827","0","0.0627"
"1","fd","MURI","0.101531","1","0.0116"
"1","fd","ACMI","0.091394","0","0.0087"
"1","fd","STPU","0.071535","1","0.1951"
"1","fd","SIBE","0.069050","0","0.0535"
"1","fd","MEIM","0.060827","1","0.0327"
"1","r","AMME","0.421875","0","0.5885"
"1","r","POSE","0.265625","1","0.1503"
"1","r","PLER","0.125000","0","0.1925"
"1","r","STPU","0.062500","1","0.3031"
"1","r","ARPU","0.031250","1","0.0379"
"1","r","SPAI","0.031250","1","0.0075"
"1","r","ACAM","0.031250","0","0.1138"
"1","r","RACA","0.015625","0","0.0353"
"1","r","LUMI","0.015625","0","0.4117"
"1","r","DEFA","0.000000","0","0.0000"
"2","ir","AMME","0.430076","0","0.3375"
"2","ir","LAPL","0.252410","0","0.0828"
"2","ir","ARPU","0.103464","1","0.0706"
"2","ir","HOIN","0.097857","1","0.2594"
