"year","block","trt","subplot","drought","nativecov","totalcov","BG","Litter","plot","invaded","CHAL","ARFR","CHLE","RACO","POOL","BRTE","ASDR","HECO","GAAR","ACHY","PASM","ARLU","ACMI","MATA","POPE","DACA","SCSC","FEID","AMRE","THFI","BOGR","POSE","SPCO","ARPU","SPCR","LIPU","KOMA","BRIN","ELEL","HEVI","BOCU","SOTR","TRDU","CAMI","SATR","MONU","CADU","unkgrass","AMTO","LIDA","TAOF","COAR","MEOF","unknown dicot","ARPO","VEBR","THAR","PLPA","EUGL","BASC","MANE","LEDR","BUDA","DESO","SIAL","GRSQ"
"2020","1","dt","n","0",0.251,0.251,50,NA,"1.dt.n",NA,NA,NA,NA,0,NA,NA,0,2,0,0,1.5,0,1,0,2.25,0.1,0.25,0.5,NA,10,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","dt","s","0",0.255,0.255,50,NA,"1.dt.s",NA,NA,NA,NA,1.5,NA,NA,0,3,0,0,0.5,0.75,2,0,1,1,0.25,1,NA,7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","fd","n","0",0.326,0.326,35,NA,"1.fd.n",NA,NA,0,NA,NA,NA,NA,NA,0.5,4.5,NA,NA,NA,5,0,0.5,1.5,NA,1,NA,17,1,0,0,0,NA,0.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","fd","s","0",0.3885,0.3885,35,NA,"1.fd.s",NA,NA,0,NA,NA,NA,NA,NA,0.75,4,NA,NA,NA,4,0,1.25,0.5,NA,1,NA,25,1.75,0,0,0,NA,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","ir","n","0",0.3885,0.3885,40,NA,"1.ir.n",NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,1,NA,0,0.75,0.25,0.1,NA,25,NA,0,NA,NA,2,NA,NA,NA,0,0.75,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","ir","s","0",0.3825,0.3825,35,NA,"1.ir.s",NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,15,NA,0,0,0,0.75,NA,20,NA,0,NA,NA,0,NA,NA,NA,0,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","r","n","0",0.375,0.375,35,NA,"1.r.n",NA,NA,1,NA,30,NA,NA,NA,1,NA,NA,0,0.25,1,NA,NA,0,NA,NA,NA,3,0.75,NA,0,0,NA,0.25,NA,NA,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","1","r","s","0",0.3925,0.3925,30,NA,"1.r.s",NA,NA,0,NA,30,NA,NA,NA,0,NA,NA,0,0,3,NA,NA,0,NA,NA,NA,5.5,0.75,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","dt","n","0",0.4835,0.4835,13,NA,"10.dt.n",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1.5,0.1,0.25,1.75,NA,0.25,25,NA,3.5,3.5,1.25,0,NA,1,0,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","dt","s","0",0.375,0.375,10,NA,"10.dt.s",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,NA,0,15,NA,2.5,4.25,0,0,NA,0.75,0,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","fd","n","0",0.291,0.291,25,NA,"10.fd.n",NA,NA,0,NA,1.5,NA,NA,0.1,NA,10.5,NA,NA,0,NA,NA,0,0.25,1.75,2,NA,10,0.5,NA,NA,0,NA,NA,2,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","fd","s","0",0.375,0.375,25,NA,"10.fd.s",NA,NA,0,NA,4.5,NA,NA,0,NA,5,NA,NA,0,NA,NA,1.25,2.5,1,0,NA,19,0.25,NA,NA,0,NA,NA,3.25,NA,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","ir","n","0",0.1035,0.1035,80,NA,"10.ir.n",NA,NA,NA,NA,1.75,NA,NA,NA,1.5,2,0.1,NA,0,1,0,0,NA,1.5,0.25,NA,NA,1.5,NA,0,NA,NA,0.5,0,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","ir","s","0",0.2225,0.2225,80,NA,"10.ir.s",NA,NA,NA,NA,3.5,NA,NA,NA,0,4.5,1.25,NA,0.25,4.25,0,0,NA,3.25,0.75,NA,NA,2.25,NA,0,NA,NA,0,0.25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","r","n","0",0.6675,0.6675,15,NA,"10.r.n",NA,NA,0,NA,1.5,NA,NA,NA,0.25,0.75,NA,NA,0,0,NA,0,NA,NA,0,NA,60,0,1.75,0,NA,NA,NA,0,NA,NA,0.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","10","r","s","0",0.595,0.595,15,NA,"10.r.s",NA,NA,0,NA,1,NA,NA,NA,0.25,1,NA,NA,0.75,0,NA,1.5,NA,NA,0,NA,50,0,1.75,0,NA,NA,NA,0,NA,NA,1.5,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","dt","n","1",0.2125,0.2125,70,NA,"11.dt.n",NA,NA,NA,NA,NA,NA,NA,0,1.75,1.5,NA,NA,0,0,0,0,NA,NA,11.5,NA,3.75,NA,0,0,0,0.75,0.25,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","dt","s","1",0.3285,0.3285,40,NA,"11.dt.s",NA,NA,NA,NA,NA,NA,NA,0,4.5,0,NA,NA,0,0.1,0,9,NA,NA,14,NA,0,NA,1,0,0,0.75,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","fd","n","1",0.18,0.18,80,NA,"11.fd.n",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0.75,3.5,0,0,0.5,0.25,NA,NA,7.5,NA,NA,0,NA,0,0.25,0,NA,0,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","fd","s","1",0.3345,0.3345,35,NA,"11.fd.s",NA,NA,0,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.75,3,0,0,0.5,0.1,NA,NA,25,NA,NA,0,NA,0,0.5,0.5,NA,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","ir","n","1",0.167,0.167,80,NA,"11.ir.n",NA,NA,NA,NA,3.75,NA,NA,NA,0.25,NA,0,0,0,0.75,0,0.5,NA,0.25,NA,NA,8,NA,NA,0,NA,NA,0.1,0,NA,NA,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","ir","s","1",0.121,0.121,90,NA,"11.ir.s",NA,NA,NA,NA,0.75,NA,NA,NA,0.5,NA,0.1,0.25,0,2,0,0.5,NA,0.25,NA,NA,4,NA,NA,0,NA,NA,0,0.25,NA,NA,1.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","r","n","1",0.43,0.43,25,NA,"11.r.n",NA,NA,0,NA,NA,NA,NA,0,0,2.5,NA,NA,4.25,NA,NA,0,0.25,0,NA,NA,10,NA,0.25,NA,NA,0,0,0,NA,NA,0.75,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","11","r","s","1",0.3425,0.3425,25,NA,"11.r.s",NA,NA,0,NA,NA,NA,NA,0,0,2.75,NA,NA,6.25,NA,NA,0,0.25,0,NA,NA,7,NA,0,NA,NA,0,0.25,0,NA,NA,2.75,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","dt","n","0",0.121,0.121,90,NA,"12.dt.n",NA,NA,0,NA,0,NA,NA,NA,NA,0,0.5,3.25,0,0,0,NA,0.25,NA,0,NA,0.1,NA,NA,NA,0,1,NA,NA,NA,NA,0.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","dt","s","0",0.0885,0.0885,90,NA,"12.dt.s",NA,NA,0,NA,0,NA,NA,NA,NA,0,0.75,4,0,0.25,0,NA,0,NA,0,NA,0.1,NA,NA,NA,0,0.25,NA,NA,NA,NA,2.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","fd","n","0",0.335,0.335,20,NA,"12.fd.n",NA,NA,NA,NA,4.75,NA,NA,0,0.25,6,NA,NA,NA,0.5,NA,0,0.5,NA,1,NA,12.5,1.5,0.25,0,NA,NA,0,NA,NA,0,NA,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","fd","s","0",0.2285,0.2285,80,NA,"12.fd.s",NA,NA,NA,NA,0,NA,NA,0,1,4.75,NA,NA,NA,4.5,NA,0.75,0.5,NA,1,NA,4,3.25,0,0,NA,NA,0.1,NA,NA,0.25,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","ir","n","0",0.0675,0.0675,90,NA,"12.ir.n",NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,0,0.75,NA,NA,3.25,NA,0,0,0,NA,0,0.25,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","ir","s","0",0.076,0.076,90,NA,"12.ir.s",NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,2.5,NA,NA,0.1,0.25,NA,NA,3.75,NA,0,0,0,NA,0,0,NA,0.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","r","n","0",0.3425,0.3425,25,NA,"12.r.n",NA,NA,NA,NA,0,NA,NA,0,NA,13,NA,0.25,NA,NA,0,2.25,0,0,1.5,NA,13.5,2.25,0,0,NA,NA,NA,0.25,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","12","r","s","0",0.32,0.32,30,NA,"12.r.s",NA,NA,NA,NA,0,NA,NA,0,NA,14,NA,0.75,NA,NA,0,1,0,0,1,NA,6.75,4.25,0,0,NA,NA,NA,0.5,NA,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","dt","n","0",0.225,0.225,50,NA,"13.dt.n",NA,NA,NA,NA,NA,NA,NA,0,1.5,0,0.25,NA,0,0.25,0,NA,0.5,0,4.5,NA,8.25,6,NA,0.25,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","dt","s","0",0.2825,0.2825,35,NA,"13.dt.s",NA,NA,NA,NA,NA,NA,NA,0,1.5,0,2.5,NA,0,0,0,NA,0.75,0.5,2.5,NA,4.5,13,NA,0,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","fd","n","0",0.4775,0.4775,18,NA,"13.fd.n",NA,NA,NA,NA,NA,NA,NA,0,NA,15,NA,0.5,0,NA,0,2.5,1.75,0.5,10,NA,8.5,1.75,NA,0,NA,NA,NA,NA,NA,0,2.75,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","fd","s","0",0.3675,0.3675,12,NA,"13.fd.s",NA,NA,NA,NA,NA,NA,NA,0,NA,5,NA,0.75,0,NA,0,6,0.5,1,5,NA,9,3.5,NA,0.75,NA,NA,NA,NA,NA,0,2,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","ir","n","0",0.4045,0.4045,30,NA,"13.ir.n",NA,NA,0,NA,4,NA,NA,NA,NA,NA,0.1,NA,0,NA,0,2.75,0,1,NA,NA,25,2.5,NA,NA,0,0.5,0.1,NA,NA,NA,0.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","ir","s","0",0.3335,0.3335,35,NA,"13.ir.s",NA,NA,0,NA,5.5,NA,NA,NA,NA,NA,0.5,NA,0,NA,0,6.5,0,0.5,NA,NA,13,0.5,NA,NA,0,0,0.1,NA,NA,NA,2,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","r","n","0",0.655,0.655,30,NA,"13.r.n",NA,NA,NA,NA,0.75,NA,NA,0,0.5,NA,NA,NA,NA,NA,0,0.75,1,0,0.25,NA,60,0.75,0.75,0,NA,NA,0,NA,NA,NA,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","13","r","s","0",0.5,0.5,25,NA,"13.r.s",NA,NA,NA,NA,0,NA,NA,0.25,1,NA,NA,NA,NA,NA,0,0.75,1.25,0,2.5,NA,40,3.5,0,0,NA,NA,0,NA,NA,NA,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","dt","n","1",0.2325,0.2325,35,NA,"14.dt.n",NA,NA,0,NA,2,NA,NA,NA,NA,0,1.5,1.5,3.5,0.75,0,4.25,NA,0,NA,NA,NA,8.75,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
