"block","trt","seed.mass","LMA","N","RMF","Rdiam","SRL","graminoid","water","year","Treatments"
"1","dt",-0.133975743926593,0.333556231495351,0.170146404374324,0.324131321420911,0.69242612722627,-0.623179756714285,0.192748807251193,"1.25","0",NA
"1","fd",-0.293585013538499,-0.603033219271369,0.731535439645082,-0.438604445776291,-0.0880627416820592,0.0344621067417812,0.346621,"1.25","0",NA
"1","ir",-0.150396643610654,0.402557578583588,-0.370839790921488,-0.363301258885357,-0.574160234857967,0.478610788722576,0.659012659012659,"1.25","0",NA
"1","rand",-0.281446966710563,0.0862889902088272,-0.058961261526866,-0.198607198055584,-0.29359941304912,0.39323390723189,0.40625,"1.25","0",NA
"10","dt",0.384704351471761,0.333555210665622,-0.248601570346207,-0.0825861619090193,0.505782690925593,-0.517978380901752,0.287875,"1.25","0",NA
"10","fd",0.357955109298896,0.0652322674443792,-0.530951657362986,-0.852207887662212,0.0244231573604694,-0.0501848691887324,0.417454582545418,"1.25","0",NA
"10","ir",-0.280062321426986,-0.102746893964803,-0.35493357572289,-0.706161826845036,-0.323213713593157,0.478609352411685,0.328629328629329,"1.25","0",NA
"10","rand",-0.251857046277803,0.186390886024162,0.879194684445459,0.628022537226206,0.466224627098035,-0.790388394433434,0.09965635,"1.25","0",NA
"11","dt",-0.0941085569464164,0.33355744933913,-0.264396144019319,0.253321190095301,-0.0351767427584737,0.044873647164997,0.369859,"1.25","0",NA
"11","fd",-0.238408196592539,-0.0991336296019868,0.470011281827077,-0.393449770465326,-0.198012229658847,-0.027742025749746,0.338739661260339,"1.25","0",NA
"11","ir",-0.110252894656049,0.935389263829683,-0.309181768126347,-0.317629342055481,-0.560839836577685,0.47860842253846,0.522221522221522,"1.25","0",NA
"11","rand",-0.306971846697205,0.0692888917493791,-0.289598980491634,-0.113978560328676,-0.320949848254601,0.420254819785586,0.61194029861194,"1.25","0",NA
"12","dt",-0.0880855831912097,0.333556833653485,0.258290937224993,0.131938188982346,0.199505367864295,-0.328890206082412,0.302848302848303,"1.25","0",NA
"12","fd",-0.273164391715389,-0.212619025675228,0.314071129840057,-0.210248026812095,-0.124178553833904,0.25386142480987,0.32417,"1.25","0",NA
"12","ir",-0.369318671789212,0.132396376107072,-0.332662226447303,-0.536208780744665,-0.455569893538717,0.478608739179044,0.446616,"1.25","0",NA
"12","rand",-0.339145264698647,0.0518727209169237,0.272951185234325,0.575998345297544,-0.256064482800343,0.134097602306332,0.292682927,"1.25","0",NA
"13","dt",0.373108859569954,0.333557006952737,-0.382287382597217,0.0206413979279116,0.450505094641714,-0.392910195673722,0.362541,"1.25","0",NA
"13","fd",0.686416633452127,0.226750491046202,-0.532373608771852,-0.0061386335441186,0.424128882582952,-0.436304489225964,0.403984,"1.25","0",NA
"13","ir",-0.376658554019627,0.0253307569449773,-0.379102298499524,-0.588748403310614,-0.630347020464648,0.478608755147037,0.476714,"1.25","0",NA
"13","rand",-0.128868896611301,0.307193625532649,0.205677236072033,0.507791633741033,0.706727113382901,-0.640388676259018,0.0276777677055356,"1.25","0",NA
"14","dt",-0.128310382329662,0.333555787363904,-0.107403763973386,0.387599879652655,0.486416564643444,-0.470804964677777,0.242312242312242,"1.25","0",NA
"14","fd",0.408610466245418,-0.0107317979235281,-0.166025563584336,-0.111352624137195,0.482356372609053,-0.497333314115395,0.339156,"1.25","0",NA
"14","ir",-0.447052324596638,0.123810447581405,-0.256337175741481,-0.294563714137318,-0.440365862837741,0.478606948394847,0.726247273752726,"1.25","0",NA
"14","rand",-0.422238806903229,-0.60650926905754,0.741698325317237,0.469826921795885,0.271367957405544,0.224249029058121,0.0173783515,"1.25","0",NA
"15","dt",0.490367091670629,0.333556434276776,-0.0917812883188668,0.191325575599899,0.439176650629208,-0.455520616826057,0.351302,"1.25","0",NA
"15","fd",-0.338682778283807,-0.354291658658177,0.0416423099153632,-0.588980600940408,-0.19079369074241,0.196161089250829,0.359626,"1.25","0",NA
"15","ir",-0.212817264494004,0.22285723852989,-0.532130623314392,-0.449495733200132,-0.279149015448819,0.478608429926599,0.473619526380474,"1.25","0",NA
"15","rand",-0.300113751889025,0.0435807051930024,0.154320281604114,-0.473418048777063,-0.591587466707597,0.451667071016441,0.763819097638191,"1.25","0",NA
"16","dt",0.551643820231592,0.333555235230001,-0.604654788764584,0.120315355307941,0.106447831914933,0.0529187774546444,0.314371,"1.25","0",NA
"16","fd",-0.232153073338655,-0.531533960573765,0.430599437768931,-0.67434690263972,0.00863541847589647,0.10060065672512,0.347062652937347,"1.25","0",NA
"16","ir",-0.152611403963282,-0.0262911526461414,-0.33640580374573,-0.56395216751328,-0.627323161316113,0.478608719176616,0.644492644492645,"1.25","0",NA
"16","rand",-0.285360304799738,-0.292288265902687,1.04965291940456,0.664783909763148,-0.759373689267565,0.924094006706935,0.315068493150685,"1.25","0",NA
"17","dt",0.5217039870852,0.33355639242061,-0.303609575095751,-0.182120609106496,0.705957844787168,-0.724414314146687,0.367395632604367,"1.25","0",NA
"17","fd",-0.25443795629881,-0.131834939226854,0.216730180369807,-0.207417647161961,-0.104506307353987,0.0633860896429633,0.454033454033454,"1.25","0",NA
"17","ir",-0.351719451388193,0.141530295571372,-0.373721961292334,-0.489752627022615,-0.674986487324095,0.478609633501775,0.583847167694335,"1.25","0",NA
"17","rand",-0.268319936831205,-0.401187628276057,0.385736401928253,0.268201143170205,-0.474283122122841,0.326981995292549,0.64893617,"1.25","0",NA
"18","dt",0.182342722770542,0.333556665870991,-0.335738510096488,0.135828440011183,-0.0576482979923314,0.00320817586086535,0.477891,"1.25","0",NA
"18","fd",-0.224737710832228,-0.130449130973199,0.14981844862031,-0.0137783613604512,0.0754335390790915,-0.189555038105169,0.412291824583649,"1.25","0",NA
"18","ir",-0.165585655656874,0.933638303558744,-0.301852041224881,-0.321230377870709,-0.573785801821504,0.478608480707352,0.508252,"1.25","0",NA
"18","rand",-0.233826075432077,-0.0895138974711362,0.273124924183568,0.185679069348853,0.437298767623036,-0.166819734563748,0.144444444855556,"1.25","0",NA
"19","dt",0.556374329613336,0.333554910081983,-0.444684983973732,0.0406147595143909,0.534652599256524,-0.429867877431821,0.261501,"1.25","0",NA
"19","fd",-0.218653013607059,-0.230118758003963,0.530821295344561,0.104260369994167,-0.0575794109745004,0.0121554475738639,0.320633,"1.25","0",NA
"19","ir",-0.278687660410221,0.0457796713545634,-0.559905325783774,-0.434013711873137,-0.0837782724618132,0.478607567294769,0.226894773105227,"1.25","0",NA
"19","rand",-0.308336204539223,-0.0211869600224475,0.862276476312099,0.50621691731,-0.226026263908844,0.545569082714542,0.157894737,"1.25","0",NA
"2","dt",0.200274579425962,0.333554969136729,-0.285450213642934,0.0172230823481272,0.0953862789678429,-0.255013852326785,0.359584280831438,"1.25","0",NA
"2","fd",-0.267762366699718,-0.197323905404248,0.119681331526664,-0.483985845523465,-0.274147307283945,0.445392013604756,0.353025353025353,"1.25","0",NA
"2","ir",-0.326288398571844,-0.0582209432063808,-0.360257150652585,-0.779538625346753,-0.367063554755978,0.478610294985489,0.227801772198228,"1.25","0",NA
"2","rand",-0.0920968437289227,0.834926816789882,-0.34691299095326,0.172315191129576,-0.187569234354351,0.132358572972466,0.405405405405405,"1.25","0",NA
"20","dt",0.457240924735521,0.333556145253137,-0.294342512588114,0.00706212157387904,0.329125763738825,-0.468544159134898,0.487412,"1.25","0",NA
"20","fd",0.470479181354545,0.0240670694446607,0.0242659248062746,0.183521273837151,0.666609934800062,-0.538613472243886,0.332743,"1.25","0",NA
"20","ir",-0.256367548124775,0.0824530985648663,-0.601346017790398,-0.394453325823024,-0.189434184456707,0.478607601529523,0.452466,"1.25","0",NA
"20","rand",0.098984551743482,-0.05654633339554,0.67749075066108,0.817091753282185,0.1292811322272,-0.386774708284506,0.003305785,"1.25","0",NA
"21","dt",-0.0462096275894417,0.333555872820666,0.253189905391844,0.188072673835425,0.393771099219395,-0.457677134766822,0.394442394442394,"1.25","0",NA
"21","fd",-0.314981004359272,-0.381332437479965,0.423626431227149,-0.501355750527625,0.10440085611965,-0.157395127509364,0.332527,"1.25","0",NA
"21","ir",-0.179117085832528,0.320852761362221,-0.362871727171552,-0.435201879586061,-0.637857742806364,0.478609154176364,0.634626634626635,"1.25","0",NA
"21","rand",0.291075978400702,0.0564166954115886,0.110509588795183,-0.36862143680164,-0.265558768274862,-0.258603596666775,0.842696631573034,"1.25","0",NA
"22","dt",-0.0581021861301433,0.333557706227069,0.0889266530136932,0.485225880975661,0.385191551450793,-0.40058362472337,0.0855790855790856,"1.25","0",NA
"22","fd",-0.205195050832021,0.055771702511102,0.330710708230041,0.278021448057895,0.0753791061703714,-0.201496402697147,0.465407,"1.25","0",NA
"22","ir",-0.43840876120776,0.229531445311116,-0.251251309423716,-0.292839956213403,-0.465804922778009,0.47860867917355,0.667242,"1.25","0",NA
"22","rand",-0.144457880309423,0.0854178404634674,-0.419813043708489,0.152607486655276,-0.435065060762164,0.398379585014476,0.520681264793187,"1.25","0",NA
"23","dt",0.615429703830416,0.333556632989596,-0.743159359790859,0.0767538191028846,0.435285125975815,-0.359492090809882,0.173841173841174,"1.25","0",NA
"23","fd",0.361163694906819,-0.31378923911577,0.0381115957568218,-0.389982900959135,0.397216246014643,-0.382411511404319,0.304399695600304,"1.25","0",NA
"23","ir",-0.268258321505791,0.0677044852824309,-0.320761023574829,-0.494206244581516,-0.739256342256965,0.478608737892688,0.764712764712765,"1.25","0",NA
"23","rand",-0.28200603515886,-0.683323906425238,1.21511428576981,0.642338076126317,-0.723172846570459,1.290444484136,0.156686626843313,"1.25","0",NA
"24","dt",0.593156546761561,0.333555815309844,-0.315494646139448,-0.00290720479952158,0.811379394021543,-0.775789186308883,0.302712,"1.25","0",NA
"24","fd",-0.21357601537687,0.260300678328733,-0.0761906783689888,0.0453857388952484,0.0444479364247209,0.0533986612303291,0.362719,"1.25","0",NA
"24","ir",-0.294017527520914,0.356146927403026,-0.443523530849549,-0.373238786077786,-0.411589339379075,0.478608830645795,0.385671,"1.25","0",NA
"24","rand",-0.180001976612749,-0.396778109677968,-0.409201948764251,-0.389430955602688,0.195166294207207,-0.482578588270009,0.814432990185567,"1.25","0",NA
"25","dt",0.333223024187493,0.333555590033239,-0.228065962613071,0.0729295966569984,0.183062118094592,-0.256564448824977,0.458229916459833,"1.25","0",NA
"25","fd",0.409420494819029,-0.227056930359187,0.0947943125475726,-0.103082148763727,0.604375236346074,-0.59457901836225,0.393068,"0.5","0",NA
"25","ir",-0.311670599768979,0.0173863268531226,-0.597697455283869,-0.377643206597031,-0.203209513153707,0.478608218224151,0.472687,"0.5","0",NA
