"year","block","trt","subplot","species","prob","drought","native","graminoid","cover","sub.tcov","BG","Litter","sub.tveg"
"2020","1","dt","n","GAAR",0,"0","N",0,0,75.1,50,NA,25.1
"2020","1","dt","n","RACO",0.01,"0","N",0,0,75.1,50,NA,25.1
"2020","1","dt","n","POPE",0.04,"0","N",0,2.25,75.1,50,NA,25.1
"2020","1","dt","n","ACMI",0.01,"0","N",0,1,75.1,50,NA,25.1
"2020","1","dt","n","CHLE",NA,"0",NA,NA,NA,75.1,50,NA,25.1
"2020","1","dt","n","CHAL",NA,"0","I",0,NA,75.1,50,NA,25.1
"2020","1","dt","n","ARFR",NA,"0","N",0,NA,75.1,50,NA,25.1
"2020","1","dt","n","THFI",0,"0","N",0,10,75.1,50,NA,25.1
"2020","1","dt","n","FEID",0.05,"0","N",1,0.5,75.1,50,NA,25.1
"2020","1","dt","n","DACA",0.01,"0","N",0,0.1,75.1,50,NA,25.1
"2020","1","dt","n","ARLU",0.03,"0","N",0,0,75.1,50,NA,25.1
"2020","1","dt","n","POOL",NA,"0","I",0,NA,75.1,50,NA,25.1
"2020","1","dt","n","ACHY",0.19,"0","N",1,0,75.1,50,NA,25.1
"2020","1","dt","n","PASM",0.11,"0","N",1,1.5,75.1,50,NA,25.1
"2020","1","dt","n","BOGR",0.23,"0","N",1,7.5,75.1,50,NA,25.1
"2020","1","dt","n","ASDR",0.03,"0","N",0,0,75.1,50,NA,25.1
"2020","1","dt","n","BRTE",NA,"0","I",1,NA,75.1,50,NA,25.1
"2020","1","dt","n","HECO",0.2,"0","N",1,2,75.1,50,NA,25.1
"2020","1","dt","n","AMRE",NA,"0",NA,NA,NA,75.1,50,NA,25.1
"2020","1","dt","n","SCSC",0.07,"0","N",1,0.25,75.1,50,NA,25.1
"2020","1","dt","n","MATA",0.02,"0","N",0,0,75.1,50,NA,25.1
"2020","1","dt","s","POPE",0.04,"0","N",0,1,75.5,50,NA,25.5
"2020","1","dt","s","POOL",NA,"0","I",0,NA,75.5,50,NA,25.5
"2020","1","dt","s","ARFR",NA,"0","N",0,NA,75.5,50,NA,25.5
"2020","1","dt","s","CHLE",NA,"0",NA,NA,NA,75.5,50,NA,25.5
"2020","1","dt","s","BRTE",NA,"0","I",1,NA,75.5,50,NA,25.5
"2020","1","dt","s","RACO",0.01,"0","N",0,1.5,75.5,50,NA,25.5
"2020","1","dt","s","ARLU",0.03,"0","N",0,0.75,75.5,50,NA,25.5
"2020","1","dt","s","FEID",0.05,"0","N",1,1,75.5,50,NA,25.5
"2020","1","dt","s","ACMI",0.01,"0","N",0,2,75.5,50,NA,25.5
"2020","1","dt","s","CHAL",NA,"0","I",0,NA,75.5,50,NA,25.5
"2020","1","dt","s","ASDR",0.03,"0","N",0,0,75.5,50,NA,25.5
"2020","1","dt","s","DACA",0.01,"0","N",0,1,75.5,50,NA,25.5
"2020","1","dt","s","HECO",0.2,"0","N",1,3,75.5,50,NA,25.5
"2020","1","dt","s","BOGR",0.23,"0","N",1,7.5,75.5,50,NA,25.5
"2020","1","dt","s","THFI",0,"0","N",0,7,75.5,50,NA,25.5
"2020","1","dt","s","ACHY",0.19,"0","N",1,0,75.5,50,NA,25.5
"2020","1","dt","s","AMRE",NA,"0",NA,NA,NA,75.5,50,NA,25.5
"2020","1","dt","s","MATA",0.02,"0","N",0,0,75.5,50,NA,25.5
"2020","1","dt","s","GAAR",0,"0","N",0,0,75.5,50,NA,25.5
"2020","1","dt","s","SCSC",0.07,"0","N",1,0.25,75.5,50,NA,25.5
"2020","1","dt","s","PASM",0.11,"0","N",1,0.5,75.5,50,NA,25.5
"2020","1","fd","n","SPCR",NA,"0","N",1,NA,67.6,35,NA,32.6
"2020","1","fd","n","POSE",0.05,"0","N",1,0,67.6,35,NA,32.6
"2020","1","fd","n","RACO",NA,"0","N",0,NA,67.6,35,NA,32.6
"2020","1","fd","n","BRTE",NA,"0","I",1,NA,67.6,35,NA,32.6
"2020","1","fd","n","FEID",0.05,"0","N",1,1,67.6,35,NA,32.6
"2020","1","fd","n","DACA",0.06,"0","N",0,1.5,67.6,35,NA,32.6
"2020","1","fd","n","BOGR",0.06,"0","N",1,1,67.6,35,NA,32.6
"2020","1","fd","n","POPE",0.05,"0","N",0,0.5,67.6,35,NA,32.6
"2020","1","fd","n","CHLE",NA,"0",NA,NA,NA,67.6,35,NA,32.6
"2020","1","fd","n","MATA",0.05,"0","N",0,0,67.6,35,NA,32.6
"2020","1","fd","n","ARPU",0.08,"0","N",1,0,67.6,35,NA,32.6
"2020","1","fd","n","ACMI",0.07,"0","N",0,5,67.6,35,NA,32.6
"2020","1","fd","n","ARFR",0.04,"0","N",0,0,67.6,35,NA,32.6
"2020","1","fd","n","GAAR",0.17,"0","N",0,4.5,67.6,35,NA,32.6
"2020","1","fd","n","SPCO",0.05,"0","N",0,0,67.6,35,NA,32.6
"2020","1","fd","n","LIPU",0.07,"0","N",0,0.1,67.6,35,NA,32.6
"2020","1","fd","n","AMRE",NA,"0",NA,NA,NA,67.6,35,NA,32.6
"2020","1","fd","n","HECO",0.07,"0","N",1,0.5,67.6,35,NA,32.6
"2020","1","fd","n","KOMA",0.07,"0","N",1,1.5,67.6,35,NA,32.6
"2020","1","fd","n","POOL",NA,"0","I",0,NA,67.6,35,NA,32.6
"2020","1","fd","n","THFI",0.05,"0","N",0,17,67.6,35,NA,32.6
"2020","1","fd","s","POOL",NA,"0","I",0,NA,73.85,35,NA,38.85
"2020","1","fd","s","KOMA",0.07,"0","N",1,0.5,73.85,35,NA,38.85
"2020","1","fd","s","POSE",0.05,"0","N",1,0,73.85,35,NA,38.85
"2020","1","fd","s","CHLE",NA,"0",NA,NA,NA,73.85,35,NA,38.85
"2020","1","fd","s","THFI",0.05,"0","N",0,25,73.85,35,NA,38.85
"2020","1","fd","s","ARFR",0.04,"0","N",0,0,73.85,35,NA,38.85
"2020","1","fd","s","GAAR",0.17,"0","N",0,4,73.85,35,NA,38.85
"2020","1","fd","s","MATA",0.05,"0","N",0,0,73.85,35,NA,38.85
"2020","1","fd","s","POPE",0.05,"0","N",0,1.25,73.85,35,NA,38.85
"2020","1","fd","s","ARPU",0.08,"0","N",1,0,73.85,35,NA,38.85
"2020","1","fd","s","BOGR",0.06,"0","N",1,1.75,73.85,35,NA,38.85
"2020","1","fd","s","DACA",0.06,"0","N",0,0.5,73.85,35,NA,38.85
"2020","1","fd","s","LIPU",0.07,"0","N",0,0.1,73.85,35,NA,38.85
"2020","1","fd","s","BRTE",NA,"0","I",1,NA,73.85,35,NA,38.85
"2020","1","fd","s","RACO",NA,"0","N",0,NA,73.85,35,NA,38.85
"2020","1","fd","s","AMRE",NA,"0",NA,NA,NA,73.85,35,NA,38.85
"2020","1","fd","s","HECO",0.07,"0","N",1,0.75,73.85,35,NA,38.85
"2020","1","fd","s","FEID",0.05,"0","N",1,1,73.85,35,NA,38.85
"2020","1","fd","s","SPCR",NA,"0","N",1,NA,73.85,35,NA,38.85
"2020","1","fd","s","ACMI",0.07,"0","N",0,4,73.85,35,NA,38.85
"2020","1","fd","s","SPCO",0.05,"0","N",0,0,73.85,35,NA,38.85
"2020","1","ir","n","CHLE",NA,"0",NA,NA,NA,78.85,40,NA,38.85
"2020","1","ir","n","DACA",0.02,"0","N",0,0.75,78.85,40,NA,38.85
